3000,8450,1000,4369,3000,16500,600,8970,1000,4806
30000,11527,30000,7970,10000,18818,30000,16329,30000,9276
10000,10349,10000,7227,30000,19593.5,10000,17145,10000,9165
3000,9793,1000,4598,3000,17804,600,9534,1000,6183
1000,6493,3000,6430,1000,14397,3000,16686,3000,8658
300,2745,600,3592,600,11922,1000,13201,600,4949
3000,9647,1000,4752,3000,18528,600,11256,1000,6188
100,538,300,2460,300,7829,300,7834.5,300,3193
30,54,100,645,100,1731,100,1856,100,980
3000,10023,1000,4724,3000,18820,600,10424,1000,6162
30000,10946,30,91,,,30,305,30000,9492
3000,9025,30000,7976,,,600,12133,10000,9284
10000,10467,1000,4412,,,,,1000,6355
3000,9341,,,,,,,30000,9674
,,,,,,,,10000,9000
,,,,,,,,1000,6190
